family,panel,mse_mean,mae_mean,prior_mse_mean,skill_vs_prior_mean,dynamic_skill_mean,dynamic_pearson_mean,dynamic_spearman_mean,within_cancer_skill_mean,within_cancer_pearson_mean,within_cancer_spearman_mean,dynamic_calibration_alpha_mean,dynamic_amplitude_ratio_mean,sample_win_fraction_mean,cpg_win_fraction_mean,macro_cancer_mse_mean,macro_cancer_skill_vs_prior_mean,num_parameters_mean,elapsed_seconds_mean,mse_std,mae_std,prior_mse_std,skill_vs_prior_std,dynamic_skill_std,dynamic_pearson_std,dynamic_spearman_std,within_cancer_skill_std,within_cancer_pearson_std,within_cancer_spearman_std,dynamic_calibration_alpha_std,dynamic_amplitude_ratio_std,sample_win_fraction_std,cpg_win_fraction_std,macro_cancer_mse_std,macro_cancer_skill_vs_prior_std,num_parameters_std,elapsed_seconds_std,n_seeds
c0_lr2e-5,locus_ood,0.02403427422885793,0.0921884529082403,0.027386690314053903,0.1224104134801433,0.22196904753993732,0.47131450504436073,0.3975398706720978,0.16620854902487045,0.40781469142250243,0.3221054740075041,0.9730353669515158,0.48439689977751116,0.8337440671778021,0.6922584772872681,0.02476771269066259,0.12733908964815233,1748229.0,77.5621612071991,9.014414858848822e-05,0.00013903783847487938,0.0,0.003291531307900703,0.003120758425846435,0.0033819199163262078,0.0025183251959369625,0.0033246926925203733,0.0041634277697167954,0.0027653131087269586,0.005164857887032043,0.006055401057802672,0.020114934156717234,0.004830348327108629,5.299710351185138e-05,0.0020016017135852495,0.0,9.505825372892012,3
c0_lr2e-5,sample_ood,0.023595316409621283,0.09638230476228442,0.030129142482141075,0.21709758441772853,0.2749240120300306,0.5243942759774217,0.46354895947062486,0.18373683416635025,0.42869340458786503,0.33902293597351524,1.0163939389609837,0.5161798994784955,0.9967793880837359,0.7578125,0.024649543887563897,0.2118202425098412,1748229.0,77.5621612071991,0.0010397190928901274,0.0028592227102277423,0.0006721825916226645,0.01837742413709002,0.010476779966479815,0.009843927708150459,0.0008655147644612108,0.006507304776140508,0.007643148928485044,0.0014837968281340307,0.019066310051910305,0.01950599966954221,0.0027891317352155957,0.014185389693685498,0.0010306017943611124,0.017268544666181412,0.0,9.505825372892012,3
c0_lr6.67e-5,double_ood,0.024476968291239912,0.09220517141839245,0.0273785206113862,0.10597914917797228,0.20493671134668942,0.4549584458885752,0.3882220764195949,0.15349288180111456,0.39219489844837785,0.2970969952238474,0.9131242561244607,0.4984658674620031,0.7954911433172303,0.655150351887396,0.02509302851686639,0.1141440852584355,1748229.0,88.24816997845967,7.460271947871031e-05,0.00017349641521106486,0.0,0.0027248630609969173,0.014224547607468042,0.013634490353014391,0.011917806305063502,0.010960952268424914,0.013276546893222104,0.011296356785626753,0.039748857081227336,0.008951853317716661,0.013303310500691043,0.012339924198327452,9.185440058858232e-05,0.0022606654162905158,0.0,9.679351480794491,3
c0_lr6.67e-5,in_distribution,0.023525540172040112,0.0955837876215676,0.030564779985101136,0.22999769176055748,0.28857127099540786,0.5373831377219167,0.4768584857508537,0.1941439366990985,0.440468001083308,0.3621165030927476,0.9861612278538763,0.5450993563406422,0.9879974443227456,0.7470703125,0.02462634656729652,0.22558850758808716,1748229.0,88.24816997845967,0.0008542658333473267,0.0018778009669748995,0.0003918119254062368,0.03744359153922974,0.03233678767482226,0.02949743692831363,0.025626069791548117,0.02191636887309241,0.025036842285144998,0.02234837414642241,0.06049669704369556,0.007518377778482641,0.019268205848226538,0.017659317695337035,0.0007806926499818501,0.03466047400020405,0.0,9.679351480794491,3
c0_lr6.67e-5,locus_ood,0.024308828216902542,0.09192789777376349,0.027386690314053903,0.11238532520199818,0.2153463348914565,0.46552510039525535,0.39412166631546136,0.16133845013041268,0.4016217652698937,0.3176415219452321,0.9295412936352956,0.5009762888295505,0.7767433369843008,0.6679462571976967,0.024991394160392644,0.11916326109610421,1748229.0,88.24816997845967,4.203527716628949e-05,0.00024843771011692057,0.0,0.0015348797786170737,0.016163980815451975,0.015810306342993304,0.014320800015433602,0.0159447575102835,0.019944465716675287,0.01832802395556289,0.03984118671343254,0.008501964155686511,0.01870347082641704,0.003838771593090179,9.472268271976133e-05,0.0022448374563218843,0.0,9.679351480794491,3
c0_lr6.67e-5,sample_ood,0.023306746616749505,0.09494482821726548,0.030129142482141075,0.2265682822778494,0.2805478087542354,0.5295542013745668,0.468170901914843,0.18331600598864353,0.4280832867112933,0.3382376813126937,0.986172214991516,0.5368457290395203,0.9903381642512077,0.75,0.024362515393185902,0.22144933725017593,1748229.0,88.24816997845967,0.0014642958906131572,0.0034468858283582095,0.0006721825916226645,0.042524148776462545,0.03160709440113065,0.029664281586000055,0.021233865384587186,0.019847262784181093,0.023066892084322613,0.0160960948268594,0.046814091553654506,0.007042207600552865,0.014692663116662409,0.0185546875,0.001447806477820537,0.03891581131666484,0.0,9.679351480794491,3
c0_v0,double_ood,0.02421008219169525,0.09248897025716289,0.0273785206113862,0.11572715942779092,0.21049812505928545,0.4593327712845762,0.3907178837727599,0.15680713833345272,0.39607673232310764,0.3008855992879401,0.9542577978830153,0.4813892700509666,0.8438003220611917,0.689059500959693,0.024903264508769188,0.12102753726980914,1748229.0,134.04427591959634,8.066395577185005e-05,0.00014659469843281785,0.0,0.0029462496135859418,0.003408726120994312,0.0038470070749987172,0.003330596569031202,0.0032186970010628316,0.003983069794665291,0.003634520570353984,0.008105454310432766,0.0074351190445656025,0.016965626011035007,0.0038387715930902344,4.15167453869499e-05,0.0016122513575146658,0.0,0.2754866583823888,3
c0_v0,in_distribution,0.023495472503640966,0.09638566379424833,0.030564779985101136,0.23129380472974712,0.2868927064528931,0.5356502831902523,0.47527087115427524,0.19820626895038584,0.44528342955754563,0.3662174119712828,1.016079823739516,0.5271675615739405,0.998311427528295,0.7646484375,0.02457642680646222,0.227439738871554,1748229.0,134.04427591959634,0.0003833816650616993,0.0009921963777767958,0.0003918119254062368,0.006993525378162029,0.009217702210797213,0.008604094224366202,0.006027547770107307,0.004734536412688522,0.0054361482285251285,0.0028924317460396554,0.005638098909829878,0.007342298573260401,0.0013297555936776825,0.007751224544134543,0.00039574797511482786,0.007653800671976929,0.0,0.2754866583823888,3
c0_v0,locus_ood,0.02403427422885793,0.0921884529082403,0.027386690314053903,0.1224104134801433,0.22196904753993732,0.47131450504436073,0.3975398706720978,0.16620854902487045,0.40781469142250243,0.3221054740075041,0.9730353669515158,0.48439689977751116,0.8337440671778021,0.6922584772872681,0.02476771269066259,0.12733908964815233,1748229.0,134.04427591959634,9.014414858848822e-05,0.00013903783847487938,0.0,0.003291531307900703,0.003120758425846435,0.0033819199163262078,0.0025183251959369625,0.0033246926925203733,0.0041634277697167954,0.0027653131087269586,0.005164857887032043,0.006055401057802672,0.020114934156717234,0.004830348327108629,5.299710351185138e-05,0.0020016017135852495,0.0,0.2754866583823888,3
c0_v0,sample_ood,0.023595316409621283,0.09638230476228442,0.030129142482141075,0.21709758441772853,0.2749240120300306,0.5243942759774217,0.46354895947062486,0.18373683416635025,0.42869340458786503,0.33902293597351524,1.0163939389609837,0.5161798994784955,0.9967793880837359,0.7578125,0.024649543887563897,0.2118202425098412,1748229.0,134.04427591959634,0.0010397190928901274,0.0028592227102277423,0.0006721825916226645,0.01837742413709002,0.010476779966479815,0.009843927708150459,0.0008655147644612108,0.006507304776140508,0.007643148928485044,0.0014837968281340307,0.019066310051910305,0.01950599966954221,0.0027891317352155957,0.014185389693685498,0.0010306017943611124,0.017268544666181412,0.0,0.2754866583823888,3
