family,panel,baseline_family,n_paired_seeds,mse_diff_mean,mse_diff_std,mse_paired_p,skill_vs_prior_diff_mean,skill_vs_prior_diff_std,skill_vs_prior_paired_p,dynamic_skill_diff_mean,dynamic_skill_diff_std,dynamic_skill_paired_p,within_cancer_skill_diff_mean,within_cancer_skill_diff_std,within_cancer_skill_paired_p
c1_mlp64_v0,double_ood,c0_v0,3,0.0005629282785024973,0.00026088329474600457,0.06471947785463181,-0.02056094580466065,0.009528757906572575,0.06471947785463285,-0.010417838471442694,0.002769315985882127,0.02275338605892666,-0.004572708559216247,0.0031668023389460776,0.12952759951437903
c1_mlp64_v0,in_distribution,c0_v0,3,-0.0017605840539380452,0.0008352201996400352,0.06751002719408322,0.05748677269245731,0.02679290738142779,0.06538573302246646,-0.013462953356087604,0.012259525938844999,0.19750760481860094,-0.00706146620284646,0.008613113326127322,0.2914453474844726
c1_mlp64_v0,locus_ood,c0_v0,3,0.0005073795431743862,0.00021892077640529699,0.0568190047678252,-0.01852650091544709,0.007993692333569596,0.056819004767825504,-0.010477466726580306,0.005412261677978412,0.07860157259632986,-0.004669088541731055,0.0060043109999851785,0.310341613873946
c1_mlp64_v0,sample_ood,c0_v0,3,-0.0017803923452479424,0.0007457656235725156,0.05380891669830306,0.058764154183889326,0.023274336027572607,0.04851510385054531,-0.011195879062899686,0.012357068878087601,0.2571419487849904,-0.005383559212434201,0.007062368416704049,0.317574298240219
c1_mlp64_v1,double_ood,c0_v0,3,0.0007159212593200308,0.00012057742752204922,0.009323379521397142,-0.026149011828721386,0.004404088490884464,0.009323379521397133,-0.018299321421261894,0.003731126682849615,0.013576068518656198,-0.010428863420319087,0.0021430842910196784,0.013785729546516898
c1_mlp64_v1,in_distribution,c0_v0,3,-0.0004764481997808813,0.0004856971842085487,0.2314059089731834,0.015602872818933652,0.015954212810448877,0.2323637644125551,-0.033989059414579935,0.00996521007674117,0.027477712302661703,-0.021426755000412762,0.005355834241626903,0.020197851374489158
c1_mlp64_v1,locus_ood,c0_v0,3,0.0007151018120883356,0.00011995300867155318,0.009249264450004844,-0.026111289969250828,0.004379974626214592,0.00924926445000485,-0.020666657689628498,0.005448866879472643,0.02239584015716015,-0.014239846962159334,0.004417689046078472,0.030616082359303836
c1_mlp64_v1,sample_ood,c0_v0,3,-0.0006140580173286831,0.0002099376035922697,0.03682331915676715,0.02031465773014962,0.006746319886930823,0.03485112048954977,-0.03218636315121389,0.008654526554632733,0.02326259789145149,-0.01652001106760533,0.0034959496640757496,0.014601402857815691
c1_mlp64_v2,double_ood,c0_v0,3,0.000608960415380074,0.0002138389955470136,0.038730867728116666,-0.022242268821742666,0.007810465677903857,0.03873086772811718,-0.01100616056330391,0.0032055787751922365,0.027130678671779856,-0.004898317936922192,0.0037604776793703203,0.15269966311038763
c1_mlp64_v2,in_distribution,c0_v0,3,-0.0017334670443617528,0.0008367637658741586,0.06965271270629284,0.05659073749444821,0.0268117640207791,0.06735215074954876,-0.013503820741007533,0.012593927176400314,0.20440565749243814,-0.007300891511817638,0.008873337951912107,0.2901838886068325
