family,panel,baseline_family,n_paired_seeds,mse_diff_mean,mse_diff_std,mse_paired_p,skill_vs_prior_diff_mean,skill_vs_prior_diff_std,skill_vs_prior_paired_p,dynamic_skill_diff_mean,dynamic_skill_diff_std,dynamic_skill_paired_p,within_cancer_skill_diff_mean,within_cancer_skill_diff_std,within_cancer_skill_paired_p
bottleneck128,locus_ood,baseline_linear,3,0.00028966612434063013,0.00013044145038986935,0.061432045549605595,-0.010576894141603602,0.0047629505023807535,0.06143204554960589,-0.0014437430902929,0.002649247156724409,0.4448538317826718,0.0018506124377349515,0.0002336927664120318,0.005273420433285757
bottleneck128,sample_ood,baseline_linear,3,5.3687437522652544e-05,3.7346877445120744e-05,0.1304695170499393,-0.0017876515423331425,0.0012457262416476805,0.1308401663567101,0.0017392994260680972,0.0026252907417241315,0.369915409372802,0.0018448785502837017,0.0006094975224881057,0.03450976093702727
bottleneck256,double_ood,baseline_linear,3,0.00029850471617208843,0.0002485116228680656,0.17297776966164177,-0.010902879684738909,0.009076882801502255,0.17297776966164294,0.0015809252909966636,0.005825112297278976,0.6845749175298885,0.0033575687836034187,0.0030714599145616724,0.19881723222661318
bottleneck256,in_distribution,baseline_linear,3,-0.00043748868389962073,0.00036075969092554463,0.17049615389414682,0.014237192234126192,0.011576142218833702,0.16688225466225626,0.0102823690352322,0.006916071121755159,0.12348353337962321,0.00834918514054391,0.005428822083226895,0.116757647250596
bottleneck256,locus_ood,baseline_linear,3,0.00026800091646447463,0.0002572392012189384,0.21291578977628264,-0.0097858088506206,0.009392854641034586,0.21291578977628284,0.003829245108245375,0.005258254214626284,0.33438088384359843,0.006408060727016052,0.0054572818883795535,0.17897893154193137
bottleneck256,sample_ood,baseline_linear,3,-0.0001911754414826057,0.00019670875997740433,0.23434377602536527,0.006258493526111704,0.00632957755045939,0.22891839408506387,0.007740105088107814,0.006636372552427235,0.1807930381478397,0.00610052262581251,0.00488286013070844,0.16290692989086314
pca032_linear,double_ood,baseline_linear,3,0.0018517162633066321,5.032784138467097e-05,0.0002461422124765029,-0.06763390504513007,0.0018382235511928897,0.00024614221247649444,-0.07942439535934391,0.013938221518351054,0.010110212767240888,-0.09915551363931825,0.00881520458196181,0.0026242044139220566
pca032_linear,in_distribution,baseline_linear,3,0.0019371877369821742,0.0006636140879817556,0.03696193497615767,-0.06331863474612594,0.021343926803783237,0.03585153998836232,-0.09881135738531162,0.019983416689504742,0.013360793003450703,-0.12229112051138476,0.013209531909245087,0.0038666880303653045
pca032_linear,locus_ood,baseline_linear,3,0.0019208039315323454,9.44675023900901e-05,0.000805290718018429,-0.07013640237304082,0.003449394625885514,0.000805290718018401,-0.08140563848069582,0.013650869179437582,0.009243492634461128,-0.10272696522057174,0.008328895837996248,0.002184037553598308
pca032_linear,sample_ood,baseline_linear,3,0.0021362796125424313,0.0005942171422709115,0.024833434203675137,-0.07063953608303375,0.018219275560874076,0.02146276914667573,-0.09731745006435451,0.014940418219528654,0.00776499765264374,-0.11953316362396056,0.008198838433922561,0.0015645391559331349
pca064_linear,double_ood,baseline_linear,3,0.0009758280518584033,0.00016869006919751148,0.009814779774845938,-0.035642103008756955,0.006161401910348488,0.009814779774845834,-0.03385080920493766,0.012696432253596054,0.043832472218178965,-0.05269355513212589,0.008739192196798135,0.009044469384027858
pca064_linear,in_distribution,baseline_linear,3,0.001029317372995716,0.0005149856376933495,0.07426393731247247,-0.03365439648530877,0.016756134127941354,0.0736220193274595,-0.05136550819782689,0.018804849538084024,0.04188896750710936,-0.07562169276047707,0.013647476897943,0.01068286465873606
pca064_linear,locus_ood,baseline_linear,3,0.0010866347123729126,0.00017044838894209025,0.008102038486295853,-0.03967747471169558,0.006223767347842769,0.008102038486295888,-0.03952025171694066,0.014055367306104245,0.03967028727466145,-0.06449996685919594,0.009153343669955103,0.006646191146768651
pca064_linear,sample_ood,baseline_linear,3,0.0011284294489419765,0.0003772053470681616,0.035286846331926,-0.037286267460059065,0.01177606320728783,0.03167778263320096,-0.046212497508827166,0.014051115966119097,0.029461321842761963,-0.06375969387072918,0.009115456169996166,0.006744228454714215
pca1024_linear,double_ood,baseline_linear,3,0.00021044809879005566,0.00020821029076702695,0.22210522103594657,-0.007686613231488264,0.007604877331481463,0.22210522103594993,0.0005174077670769087,0.0036933277890992657,0.830893448204327,0.004253870428533387,0.0033515550020957355,0.15899263315948156
